Year_County,Democratic,Republican,Libertarian,Reform,Natural_Law,Independent_1,Independent_2,Independent_3,Green,American_Independent,Peace_and_Freedom,Progressive,Independent_Progressive,Socialist,Prohibition,National_Democrat,Socialist_Labor,Communist,National,Populist,Independence_League,Liberty,Write_In_1,Write_In_2,Write_In_3,Write_In_4,Write_In_5,Write_In_6,Write_In_7,Write_In_8
1976_Alameda,235988,155280,NULL,NULL,NULL,2572,3457,3678,NULL,1501,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3054,103,25,5,2,1,0,0
1980_Alameda,201720,158531,7436,NULL,NULL,40834,7265,NULL,NULL,1283,548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1984_Alameda,282041,192408,2557,NULL,NULL,NULL,NULL,NULL,NULL,1645,2223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1988_Alameda,310283,162815,3324,NULL,NULL,1517,NULL,NULL,NULL,1034,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,6,10,1,3,0,NULL,NULL
1992_Alameda,334224,109292,2505,NULL,NULL,81643,NULL,NULL,NULL,1775,618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,30,9,0,34,1,0,NULL
1996_Alameda,303903,106581,1128,3094,1778,NULL,NULL,NULL,24270,841,20432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,14,0,0,0,NULL,NULL,NULL
2000_Alameda,342889,119279,1026,492,1237,NULL,NULL,NULL,1910,27499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,NULL,NULL,NULL,NULL,NULL
2004_Alameda,422585,130911,2149,NULL,NULL,NULL,NULL,NULL,2637,1344,819,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1641,3,1,0,NULL,NULL,NULL,NULL
2008_Alameda,489106,119555,2536,NULL,NULL,NULL,NULL,NULL,5557,1205,2426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1894,513,116,5,0,NULL,NULL,NULL
2012_Alameda,469684,108182,5471,NULL,NULL,NULL,NULL,NULL,7502,1854,1212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2890,69,15,2,7,5,0,0
2016_Alameda,514842,95922,16906,NULL,NULL,NULL,NULL,NULL,17830,NULL,9483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3162,1291,71,27,9,0,NULL,NULL
2020_Alameda,617659,136309,6295,NULL,NULL,NULL,NULL,NULL,4664,2399,2538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3683,127,29,25,8,17,NULL,NULL
